Date,pr
06-06-2012,0.866030953
07-06-2012,0.722998964
08-06-2012,0.897932618
09-06-2012,0.895232421
10-06-2012,0.792886676
11-06-2012,0.910036652
12-06-2012,0.85303338
13-06-2012,0.792829404
14-06-2012,0.79748918
15-06-2012,0.800495638
16-06-2012,0.896803397
17-06-2012,0.880915996
18-06-2012,0.888078532
19-06-2012,0.866573931
20-06-2012,0.849630684
21-06-2012,0.873499197
22-06-2012,0.919286923
23-06-2012,0.914298051
24-06-2012,0.894927504
25-06-2012,0.914364976
26-06-2012,0.927276493
27-06-2012,0.902168334
28-06-2012,0.903251677
29-06-2012,0.895007452
30-06-2012,0.911445853
01-07-2012,0.908431562
02-07-2012,0.908315383
03-07-2012,0.899128048
04-07-2012,0.891234842
05-07-2012,0.89837869
06-07-2012,0.873939213
07-07-2012,0.867660033
08-07-2012,0.873311023
09-07-2012,0.856272217
10-07-2012,0.856220265
11-07-2012,0.852625074
12-07-2012,0.801219437
13-07-2012,0.889362822
14-07-2012,0.89351597
15-07-2012,0.889895369
16-07-2012,0.863193138
17-07-2012,0.877913712
18-07-2012,0.889979091
19-07-2012,0.904450294
20-07-2012,0.908477207
21-07-2012,0.895150776
22-07-2012,0.873577839
23-07-2012,0.87088915
24-07-2012,0.850128113
25-07-2012,0.874557967
26-07-2012,0.895226203
27-07-2012,0.902560342
28-07-2012,0.893083951
29-07-2012,0.876754723
30-07-2012,0.889994956
31-07-2012,0.876080606
01-08-2012,0.852771911
02-08-2012,0.824619078
03-08-2012,0.84496795
04-08-2012,0.817468153
05-08-2012,0.847982007
06-08-2012,0.858328218
07-08-2012,0.832174667
08-08-2012,0.826236988
09-08-2012,0.870964916
10-08-2012,0.85965906
11-08-2012,0.858972275
12-08-2012,0.849834557
13-08-2012,0.837098256
14-08-2012,0.822668072
15-08-2012,0.800875955
16-08-2012,0.838118879
17-08-2012,0.839861484
18-08-2012,0.790628607
19-08-2012,0.845860627
20-08-2012,0.800855427
21-08-2012,0.827928181
22-08-2012,0.831896143
23-08-2012,0.85717763
24-08-2012,0.856897104
25-08-2012,0.839293345
26-08-2012,0.839623414
27-08-2012,0.819067346
28-08-2012,0.790038512
29-08-2012,0.806946282
30-08-2012,0.698491805
31-08-2012,0.853057929
01-09-2012,0.824769792
02-09-2012,0.815575981
03-09-2012,0.812406564
04-09-2012,0.794134003
05-09-2012,0.780171689
06-09-2012,0.779927767
07-09-2012,0.854766193
08-09-2012,0.85168456
09-09-2012,0.826829087
10-09-2012,0.808205654
11-09-2012,0.778927097
12-09-2012,0.773863178
13-09-2012,0.847900027
