Date,Date,pr,pr_seasonal,pr_residue
2012-03-19,19-03-2012,0.774023426,0.820464076804074,-0.0464406508040736
2012-03-20,20-03-2012,0.731056693,0.821338706941031,-0.0902820139410307
2012-03-21,21-03-2012,0.908729905,0.822210660238687,0.0865192447613137
2012-03-22,22-03-2012,0.895690469,0.823079679259706,0.0726107897402935
2012-03-23,23-03-2012,0.884152872,0.823945507433078,0.0602073645669216
2012-03-24,24-03-2012,0.874079779,0.82480788912986,0.0492718898701406
2012-03-25,25-03-2012,0.858351496,0.82566656973866,0.0326849262613403
2012-03-26,26-03-2012,0.838137422,0.826521295740799,0.0116161262592014
2012-03-27,27-03-2012,0.829091152,0.827371814785165,0.00171933721483546
2012-03-28,28-03-2012,0.832341764,0.828217875762719,0.00412388823728195
2012-03-29,29-03-2012,0.854542529,0.829059228880629,0.0254833001193709
2012-03-30,30-03-2012,0.819120887,0.829895625736023,-0.0107747387360227
2012-03-31,31-03-2012,0.818403839,0.830726819389325,-0.0123229803893253
2012-04-01,01-04-2012,0.840546657,0.831552564437166,0.00899409256283493
2012-04-02,02-04-2012,0.845486218,0.83237261708483,0.0131136009151696
2012-04-03,03-04-2012,0.744467139,0.833186735218242,-0.0887195962182413
2012-04-04,04-04-2012,0.829753675,0.833994678475443,-0.00424100347544332
2012-04-05,05-04-2012,0.847353184,0.834796208317558,0.012556975682441
2012-04-06,06-04-2012,0.739899934,0.835591088099224,-0.095691154099224
2012-04-07,07-04-2012,0.774333332,0.836379083138452,-0.0620457511384525
2012-04-08,08-04-2012,0.828957369,0.837159960785922,-0.00820259178592212
2012-04-09,09-04-2012,0.848186663,0.837933490493668,0.0102531725063318
2012-04-10,10-04-2012,0.723798509,0.838699443883144,-0.114900934883143
2012-04-11,11-04-2012,0.755654825,0.839457594812651,-0.0838027698126508
2012-04-12,12-04-2012,0.755654825,0.840207719444107,-0.0845528944441077
2012-04-13,13-04-2012,0.782803654,0.840949596309131,-0.0581459423091318
2012-04-14,14-04-2012,0.829547719,0.84168300637443,-0.0121352873744303
2012-04-15,15-04-2012,0.883133268,0.842407733106464,0.0407255348935359
2012-04-16,16-04-2012,0.875750786,0.843123562535383,0.0326272234646169
2012-04-17,17-04-2012,0.882448105,0.843830283318193,0.0386178216818075
2012-04-18,18-04-2012,0.862440296,0.844527686801155,0.0179126091988434
2012-04-19,19-04-2012,0.848117091,0.845215567081392,0.00290152391860779
2012-04-20,20-04-2012,0.844280927,0.845893721067678,-0.00161279406767769
2012-04-21,21-04-2012,0.697425359,0.846561948540394,-0.149136589540394
2012-04-22,22-04-2012,0.888791895,0.847220052210649,0.0415718427893506
2012-04-23,23-04-2012,0.870735768,0.847867837778527,0.0228679302214745
2012-04-24,24-04-2012,0.78889005,0.848505113990444,-0.0596150639904439
2012-04-25,25-04-2012,0.902694119,0.849131692695627,0.0535624263043725
2012-04-26,26-04-2012,0.893255449,0.849747388901655,0.0435080600983449
2012-04-27,27-04-2012,0.906255507,0.850352020829077,0.0559034861709227
2012-04-28,28-04-2012,0.909117204,0.850945409965088,0.0581717940349121
2012-04-29,29-04-2012,0.874360698,0.851527381116221,0.0228333168837798
2012-04-30,30-04-2012,0.878883094,0.852097762460086,0.0267853315399136
2012-05-01,01-05-2012,0.874377995,0.85265638559609,0.0217216094039101
2012-05-02,02-05-2012,0.90783849,0.853203085595157,0.054635404404843
2012-05-03,03-05-2012,0.902617857,0.853737701048423,0.0488801559515769
2012-05-04,04-05-2012,0.885469535,0.854260074114893,0.0312094608851065
2012-05-05,05-05-2012,0.869704616,0.854770050568039,0.014934565431962
2012-05-06,06-05-2012,0.83383651,0.855267479841333,-0.0214309698413328
2012-05-07,07-05-2012,0.833937811,0.855752215072707,-0.0218144040727073
2012-05-08,08-05-2012,0.839741403,0.856224113147906,-0.0164827101479058
2012-05-09,09-05-2012,0.854250571,0.856683034742745,-0.00243246374274557
2012-05-10,10-05-2012,0.855463562,0.857128844364243,-0.00166528236424312
2012-05-11,11-05-2012,0.869853106,0.857561410390625,0.012291695609375
2012-05-12,12-05-2012,0.86686676,0.857980605110182,0.00888615488981716
2012-05-13,13-05-2012,0.915015456,0.858386304758981,0.0566291512410193
2012-05-14,14-05-2012,0.887757221,0.858778389557399,0.0289788314426009
2012-05-15,15-05-2012,0.891406046,0.859156743745491,0.0322493022545092
2012-05-16,16-05-2012,0.868189342,0.859521255617168,0.00866808638283162
2012-05-17,17-05-2012,0.855689289,0.859871817553173,-0.00418252855317426
